flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids
2408190724,C2.8,2024-08-19 07:18:11.339000+00:00,2024-08-19 07:40:19.342000+00:00,2024-08-19 07:18:11.339000+00:00,2024-08-19 07:40:19.342000+00:00,1328,1,"['G0002', 'G0002', 'G0002']","[1408087216, 1408087816, 1408088424]"
2410170721,C2.8,2024-10-17 07:19:12.213000+00:00,2024-10-17 07:26:12.214000+00:00,2024-10-17 07:19:12.213000+00:00,2024-10-17 07:26:12.214000+00:00,420,1,['G0002'],[1413185048]
2408060545,C2.7,2024-08-06 05:42:43.775000+00:00,2024-08-06 05:58:51.777000+00:00,2024-08-06 05:42:43.775000+00:00,2024-08-06 05:58:51.777000+00:00,968,1,"['G0002', 'G0002']","[1406958296, 1406958896]"
2408240142,C2.7,2024-08-24 01:38:27.391000+00:00,2024-08-24 01:52:35.393000+00:00,2024-08-24 01:38:27.391000+00:00,2024-08-24 01:52:35.393000+00:00,848,1,"['G0002', 'G0002']","[1408498872, 1408499472]"
2407200757,C2.6,2024-07-20 07:48:20.916000+00:00,2024-07-20 08:00:00.917000+00:00,2024-07-20 07:48:20.916000+00:00,2024-07-20 08:00:00.917000+00:00,700,1,['G0002'],[1405497160]
2408290243,C2.6,2024-08-29 02:37:44.189000+00:00,2024-08-29 02:48:52.190000+00:00,2024-08-29 02:37:44.189000+00:00,2024-08-29 02:48:52.190000+00:00,668,1,['G0002'],[1408934752]
2408290309,C2.6,2024-08-29 03:06:56.192000+00:00,2024-08-29 03:16:20.193000+00:00,2024-08-29 03:06:56.192000+00:00,2024-08-29 03:16:20.193000+00:00,564,1,['G0002'],[1408936584]
2409280723,C2.6,2024-09-28 07:04:22.233000+00:00,2024-09-28 07:32:18.237000+00:00,2024-09-28 07:04:22.233000+00:00,2024-09-28 07:32:18.237000+00:00,1676,1,"['G0002', 'G0002', 'G0002']","[1411542296, 1411542896, 1411543504]"
2409300713,C2.6,2024-09-30 06:54:42.559000+00:00,2024-09-30 07:25:14.562000+00:00,2024-09-30 06:54:42.559000+00:00,2024-09-30 07:25:14.562000+00:00,1832,1,"['G0002', 'G0002', 'G0002']","[1411715080, 1411715680, 1411716288]"
2407060605,C2.5,2024-07-06 06:02:12.409000+00:00,2024-07-06 06:10:32.410000+00:00,2024-07-06 06:02:12.409000+00:00,2024-07-06 06:10:32.410000+00:00,500,1,['G0002'],[1404280960]
2410230519,C2.5,2024-10-23 04:39:36.155000+00:00,2024-10-23 05:29:04.160000+00:00,2024-10-23 04:39:36.155000+00:00,2024-10-23 05:29:04.160000+00:00,2968,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1413693864, 1413694464, 1413695064, 1413695672]"
2409170051,C2.4,2024-09-17 00:44:37.109000+00:00,2024-09-17 02:00:29.117000+00:00,2024-09-17 00:44:37.109000+00:00,2024-09-17 02:00:29.117000+00:00,4552,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1410570856, 1410571728, 1410572328, 1410572928, 1410573528, 1410573616]"
2409190737,C2.4,2024-09-19 07:07:17.372000+00:00,2024-09-19 08:04:57.378000+00:00,2024-09-19 07:07:17.372000+00:00,2024-09-19 08:04:57.378000+00:00,3460,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1410765432, 1410766040, 1410766640, 1410767240, 1410767848]"
2409300630,C2.4,2024-09-30 06:26:10.556000+00:00,2024-09-30 06:33:10.557000+00:00,2024-09-30 06:26:10.556000+00:00,2024-09-30 06:33:10.557000+00:00,420,1,['G0002'],[1411713016]
2406300416,C2.3,2024-06-30 04:13:01.464000+00:00,2024-06-30 04:23:53.466000+00:00,2024-06-30 04:13:01.464000+00:00,2024-06-30 04:23:53.466000+00:00,652,1,['G0002'],[1403756072]
2407030232,C2.3,2024-07-03 02:30:20.122000+00:00,2024-07-03 02:39:00.123000+00:00,2024-07-03 02:30:20.122000+00:00,2024-07-03 02:39:00.123000+00:00,520,1,['G0002'],[1404009256]
2407040702,C2.3,2024-07-04 06:56:52.207000+00:00,2024-07-04 07:08:16.208000+00:00,2024-07-04 06:56:52.207000+00:00,2024-07-04 07:08:16.208000+00:00,684,1,['G0002'],[1404111904]
